GeoFIPS,County,Sector,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
6077,SAN JOAQUIN,Total,5771.28005,5522.142193,5674.932449,5549.318577,5616.421924,5614.335689,5435.495723,5145.046735,5215.351507,5529.647345,5335.731424,5253.825163,5185.218099,5309.110601,5307.448275,5440.578429,5772.787091,5727.534697,5397.688554,4909.743006,5204.577804,5099.226766,5166.904923,5361.360192,4516.10697,4741.837626,4539.376481,4389.994962,3999.00019,4257.827359,3817.854385,3670.41698,3868.310187,167346.4324
6079,SAN LUIS OBISPO,Total,1729.480297,1682.160378,1671.677742,1697.369787,1756.058714,1759.825651,1727.126908,1700.706294,1713.906989,1749.776421,1713.999479,1672.709396,1655.809535,1691.522216,1726.057428,1752.645205,1590.267847,1570.600721,1585.361414,1551.10284,1463.373031,1484.430871,1424.808693,1377.022319,1279.453501,1278.769631,1227.735962,1183.203853,1164.075808,1155.401121,1119.039951,1123.031746,1146.272359,50124.78411
6081,SAN MATEO,Total,4177.361534,4093.050053,4152.846389,4326.121682,4242.790144,4343.231505,4329.690176,4420.56948,4439.440394,4515.05398,4497.358784,4562.977734,4764.328905,4968.545418,5073.973492,4998.282377,4669.239486,4542.771125,4761.665095,4612.655579,4214.897521,4229.899165,4808.791275,4582.75975,4433.76184,4356.38063,4119.976922,4021.696721,3942.191103,3955.564639,3907.967735,3890.128738,3967.579009,144923.5484
6083,SANTA BARBARA,Total,2804.124632,2744.758666,2740.967042,2771.764252,2821.575657,2800.739664,2858.351534,3112.319347,3411.758677,3374.370215,3259.914959,3236.683516,3228.305031,3234.570986,3261.718202,3177.372866,3185.708535,3240.525789,3165.658308,2994.896448,3021.746099,2743.702506,2865.737547,2730.428474,2735.337278,2783.834708,2668.441282,2589.883229,2565.208314,2601.268984,2567.872808,2520.875703,2484.634486,96305.05574
6085,SANTA CLARA,Total,17101.79903,16407.98387,16367.89211,16655.39037,16643.20805,16997.12585,16825.15837,16803.51627,16662.36868,16560.98911,16483.62876,16534.49105,16252.11411,16546.65985,16718.78658,16446.36252,16042.06864,15555.34698,15357.3145,15175.11058,14523.61935,15396.91437,16611.47481,16416.6686,15733.68631,15333.58797,14505.47448,14088.27785,13936.10308,14093.05183,14078.54491,13960.47048,14050.09072,520865.28
6087,SANTA CRUZ,Total,1177.175107,1138.724198,1173.318547,1193.62581,1206.64816,1216.529143,1220.641125,1231.083826,1237.229691,1275.349251,1265.132513,1259.742586,1267.403432,1276.557517,1358.789327,1409.413096,1435.097432,1400.005914,1468.745757,1363.988135,1413.202532,1468.011719,1538.632262,1486.135388,1397.965954,1432.349802,1359.100696,1368.596532,1305.161159,1312.201511,1293.460713,1272.01261,1287.543982,43509.57543
6089,SHASTA,Total,1617.460541,1653.539978,1574.354568,1529.62072,1564.696471,1572.323141,1552.457689,1559.125685,1541.746612,1545.732552,1532.91876,1521.088455,1524.253643,1566.932665,1604.160776,1617.027198,1609.860576,1575.888865,1724.797407,1646.301172,1613.365705,1523.847395,1564.427563,1517.423296,1531.147068,1545.436645,1509.867411,1541.03272,1486.385195,1499.101455,1569.497297,1559.671174,1520.621566,51616.11196
6091,SIERRA,Total,22.907935,22.827782,22.269352,22.007413,21.118555,21.922634,25.959148,24.152352,23.704668,23.558435,23.599488,23.421251,23.709494,24.435243,25.103763,28.234191,23.861248,25.12328,24.618725,34.984998,32.168313,35.542103,22.743712,22.934518,23.083401,22.296488,22.388548,22.570062,22.06575,17.888245,15.842939,23.368664,23.887409,794.300107
6093,SISKIYOU,Total,534.261817,536.505683,519.129959,494.734749,495.643708,508.859777,492.83804,494.570446,485.511819,500.496002,486.170167,499.977454,501.508488,517.587901,541.873181,563.467392,514.210861,509.922864,518.666692,509.408379,501.94275,482.590703,456.660683,461.670783,432.097285,450.856727,523.15334,459.56848,447.406109,456.379116,460.129633,457.377559,463.911027,16279.08957
6095,SOLANO,Total,3255.398734,3230.378992,3288.186282,3206.767513,3248.133837,3189.261148,3184.156836,3195.293835,3198.092131,3210.807192,3176.100731,3107.622274,3050.855874,3163.036685,3165.981267,3330.237719,3155.558143,3110.416451,3048.735573,2958.393637,2857.392135,2786.770619,3003.743597,2961.030157,2695.884986,2582.677606,2584.818623,2556.839267,2557.923851,2529.080236,2537.302686,2487.587024,2640.925459,98255.3911
